x,y,power_density,current_density,resistance,via_density,layer_type,layer_factor,ir_drop
102,13,1.1703637885086313,1.5773061734567395,0.08091629674984292,7,M1,1.2,0.8260047377772491
179,90,1.5493835080748148,0.8944046732942008,0.03292627719858601,6,M4,0.6,0.6345647262344968
92,152,0.7974424064155657,0.740870945896042,0.13451366342416526,8,M1,1.2,0.4523930677274603
14,76,1.1359544319824755,0.23023701829158044,0.1094432616001507,4,M3,0.8,0.5627428763883463
106,84,1.08109600524222,0.8909439771282117,0.013883040355520352,9,M1,1.2,0.4663498262745347
71,108,0.28006469402483714,0.3964923356904181,0.13273821780152992,8,M1,1.2,0.15662471995202115
188,30,0.7110177020256929,0.583235955661454,0.14682493918736564,3,M3,0.8,0.5472649366143347
20,121,0.13692679484637377,1.794584869036967,0.08026061976738048,3,M2,1.0,0.8593306039528997
102,106,0.3103408087323707,1.940198699871316,0.05404549485694088,9,M2,1.0,0.7350929656242673
121,53,1.642530623528578,1.9022621008849447,0.0468850229160069,9,M3,0.8,1.0535008564214043
74,132,1.675885644771806,0.46737580310244276,0.02223872919059681,5,M2,1.0,0.6510955660718514
87,140,1.6236980080856325,1.8116989956471135,0.07882531292966431,1,M4,0.6,1.2899916888759355
116,155,1.4809554178092494,0.3688600717105037,0.017019603094383044,3,M1,1.2,0.6621997729356385
99,42,1.6072944081598133,1.0645543949646847,0.08053720678585256,5,M1,1.2,0.9399189465595849
103,88,1.374866448412085,1.3229603978023097,0.04535678170151303,4,M2,1.0,0.9287823942666739
151,114,1.3726833437509482,0.9786870588907957,0.07670047378094567,4,M2,1.0,0.8869028470792363
130,98,1.3679874152344353,1.9084911272919363,0.06857377768822352,1,M2,1.0,1.3242926505379913
149,46,1.0766813003885878,0.7331041738740497,0.05271599528060217,6,M3,0.8,0.5803749739469315
52,70,0.7903597435832044,1.1020175598863209,0.0728093535323342,4,M4,0.6,0.6688280050048173
1,165,1.4873710057069545,0.24335487741136086,0.07636474449439132,1,M4,0.6,0.5864173677031022
87,66,0.667427425814809,1.7192267021484984,0.1267168466205334,6,M2,1.0,0.9249131334168634
157,61,1.1315140498074765,0.8853904522934948,0.10320966808051782,5,M3,0.8,0.5890660396365263
37,108,0.9233756784139745,1.431011019624795,0.07064192367538927,5,M2,1.0,0.9150375627313773
129,166,0.6255823264780321,1.3962666989938948,0.13673387126060307,2,M3,0.8,0.9117621466100807
191,36,1.9519108488596801,1.384899496385069,0.11580370871046312,1,M3,0.8,1.4195329107456711
187,118,0.591628125883457,1.0631827296391378,0.02060036559516057,7,M1,1.2,0.37620979607562804
20,85,0.6876568210737569,0.6272857020408973,0.031524416097224645,5,M2,1.0,0.43007073388859907
160,125,0.40701625334032965,1.2876796612666341,0.021433503705522727,3,M1,1.2,0.736603148057232
57,135,1.663663188097152,1.9274038572413146,0.054640870369057036,6,M1,1.2,1.20643776991999
21,51,1.21451986105353,1.6845035862979965,0.07099052691244427,3,M4,0.6,1.0931290342595548
88,90,1.264774587297533,0.3066596399521755,0.08059442918638239,6,M3,0.8,0.3863580083098992
48,32,1.6590666824182858,0.14405606301444515,0.12919770781754905,6,M3,0.8,0.5519842312876254
58,80,0.7515473513967708,1.048045578053826,0.012513880009636089,9,M3,0.8,0.314422000798177
169,41,0.4679035082224061,1.5740757682579987,0.06996037680431728,8,M3,0.8,0.4691418594448097
187,111,0.47697019158841747,0.6964148510176937,0.06753977231550286,1,M1,1.2,0.6081321828965845
14,125,1.4919776607782929,1.4323527280180324,0.1426466311323023,7,M3,0.8,0.9305301089237962
189,154,1.2668187934786501,1.8706504020537371,0.043745168467387005,9,M4,0.6,0.8702718207047755
189,135,0.4920438693059689,0.9720705631758708,0.027136813666765652,2,M4,0.6,0.5221899756660011
174,150,0.37562424981680476,0.5639033468381816,0.029916429705756635,9,M1,1.2,0.16924984028558085
189,105,0.3293058798077483,1.8437399379524695,0.08281998134989603,6,M1,1.2,0.8352687682379082
50,124,1.2928174306357718,0.9973015316070581,0.06472653249076529,3,M2,1.0,0.879494696976387
107,112,0.10022542533061501,0.874894682682709,0.11557988397095852,8,M2,1.0,0.3252173360097166
54,63,0.13480675094673308,0.7713869859277555,0.05524553210149599,7,M3,0.8,0.1722850662199501
63,122,0.8401509576895809,0.9037322096337448,0.02791464528032967,8,M1,1.2,0.4206007167382187
130,113,1.4135647421247086,1.3799499229464807,0.06416261056094474,8,M1,1.2,0.8519200603137692
50,19,1.4205748153450675,0.9240672917182925,0.1336249864251577,7,M4,0.6,0.6244882323266098
134,15,0.9172247198546121,0.7160253882625182,0.06677371747894877,1,M4,0.6,0.7101585722752101
20,144,1.4130398525486823,1.5129115645634672,0.1267078811465207,8,M4,0.6,0.8128180317836096
72,18,1.0900827412022382,0.4856457113463527,0.062014212019501344,5,M1,1.2,0.5549494039587458
166,119,1.9561696919148992,0.48367407681768737,0.04939398734830366,2,M2,1.0,0.8906888488532122
17,135,0.40867440628998286,1.4232275194430177,0.11848078218674837,2,M1,1.2,0.7768531885901022
131,165,1.2412678086406508,1.746742407359999,0.039292833873992725,2,M1,1.2,1.2398287410488313
88,37,1.033353674306907,0.5583005950445459,0.042456298863773605,9,M1,1.2,0.4036091223716508
59,180,0.46948605484961936,0.4631374524552161,0.016973797330635292,5,M2,1.0,0.313781162402075
13,92,1.5249818210692365,1.3735811744524293,0.036298399579479224,3,M4,0.6,0.9193390394507055
8,104,0.6234652378707909,1.2795247913689902,0.0630341551053718,6,M3,0.8,0.5734402146712695
89,99,0.825248656277729,0.9497794583872632,0.06594017782008652,9,M3,0.8,0.3579934964714845
52,89,0.812178082216307,0.2821352157118231,0.06888793217042025,9,M3,0.8,0.1286622059016006
129,158,0.5639884990571027,0.2743923188655595,0.07715701247295241,9,M2,1.0,0.07473206342985636
83,43,0.9183401302269698,1.5769493991842736,0.09006748620628112,4,M2,1.0,0.8007396903551156
91,187,0.9993571737624747,0.9583613230518023,0.036520063443364004,5,M3,0.8,0.5599536683238975
110,75,1.5140211783376842,1.7301374733589618,0.0959521856306492,1,M3,0.8,1.2860633211965868
187,144,1.5536302913163706,1.1919939379238385,0.057117642245700394,6,M2,1.0,0.8389242769397526
198,78,0.401256339754158,1.275602468313502,0.11276150291947797,2,M3,0.8,0.7368565204059127
171,72,1.226267368722311,1.8749694396262522,0.08800862302608443,7,M1,1.2,1.0281119172846
7,166,1.8027758167308514,0.41277019867493214,0.08759760775733484,4,M4,0.6,0.6578068905210909
174,169,0.30669455688066555,1.1317460356642923,0.10596817840300223,4,M2,1.0,0.6371500759407245
34,175,0.9985366846148632,0.21046333993546607,0.05662265873349943,9,M4,0.6,0.14025226313669836
80,139,1.5256709325758513,0.7819575909760262,0.07009261167860656,1,M3,0.8,0.907541659489287
163,95,1.2618335353264523,0.3813871496222898,0.09160570158060345,6,M3,0.8,0.4661788202620462
49,88,0.2911127475335854,0.45688832834068405,0.06901778687220157,2,M2,1.0,0.4255649279931066
103,102,0.8535516381668475,1.8761099681150033,0.07219604642072545,6,M2,1.0,1.0111034777781718
131,145,1.0637550466120416,1.2602968035892734,0.04814819019046604,7,M1,1.2,0.7708822704272068
1,5,1.9921066432609185,1.7951004530606471,0.05023390367592061,3,M2,1.0,1.4941083293076427
133,121,0.4393550277149403,0.9426883503424242,0.10785403698067005,4,M4,0.6,0.5176930367408974
53,170,1.9666051576042136,1.2355223586604285,0.010599359883752804,2,M2,1.0,1.1086008233184401
105,115,0.8146845900359433,0.16097957316656009,0.02334065910916739,7,M1,1.2,0.2776378409588279
3,162,0.4806089235402605,0.9920542413212347,0.1428333845306308,9,M4,0.6,0.32842768100667
53,181,0.8868072560355923,1.1717076793531975,0.036182531460820955,5,M3,0.8,0.7077509472578812
190,61,1.2665907356661525,0.13187765710453545,0.06853692486248235,5,M2,1.0,0.35141455922596265
145,196,0.5056450484308921,1.6000294359649165,0.12895591905722026,9,M3,0.8,0.6208765271145213
43,143,0.6537342582740426,0.6613036701255505,0.010014332153618563,8,M1,1.2,0.3550326206318469
161,135,1.7236383532970505,0.9597254424254634,0.13952508652591897,1,M2,1.0,1.0507814363739802
189,88,1.9981179771708488,1.1176975420791666,0.017488407345491612,2,M1,1.2,1.2306977659885792
13,95,0.7045281138470102,1.9851745909440235,0.033921666933361495,7,M3,0.8,0.8470293822050023
